IsolateID,SamplingPeriod,Assets,Locations,Hospitals,Date
6928142,Beginning,00455,CC-B,W,30-Aug-2014
6928143,Beginning,00453,CC-B,W,30-Aug-2014
6928126,Beginning,07314,CC-B,W,30-Aug-2014
6928131,Beginning,07312,CC-B,W,30-Aug-2014
6928182,Beginning,00404,CC-C,W,30-Aug-2014
6928166,Beginning,00402,CC-C,W,30-Aug-2014
6928168,Beginning,00401,CC-C,W,30-Aug-2014
6928171,Beginning,00391,CC-C,W,30-Aug-2014
6928167,Beginning,00393,CC-C,W,30-Aug-2014
6928109,Beginning,00394,CC-C,W,30-Aug-2014
6928154,Beginning,00396,CC-C,W,30-Aug-2014
6928161,Beginning,00398,CC-C,W,30-Aug-2014
6928165,Beginning,00449,CC-C,W,30-Aug-2014
6928153,Beginning,00416,CC-C,W,30-Aug-2014
